Date,Ticker Symbol,Security Name,Volume Count,Opening Price,Highest Price,Lowest Price,Closing Price,Net Change
2024-01-05,ABL,Allied Bank Ltd,6500,82.9,83.2,83.99,82.5,83.99
2024-01-05,AKBL,Askari Bank,3585500,24.27,24.25,24.8,23.99,24.29
2024-01-05,BAFL,Bank Al-Falah,2130835,48.97,49.4,50,48.5,49.56
2024-01-05,BAHL,Bank AL-Habib,467640,82.99,82.53,83.95,80.8,82.11
2024-01-05,BIPL,Bankislami Pak.,2134029,21.49,21.35,21.66,21.01,21.32
2024-01-05,BML,Bank Makramah,814500,2.27,2.32,2.32,2.22,2.28
2024-01-05,BOK,Bank Of Khyber,6000,12.46,12,12.5,11.46,11.46
2024-01-05,BOP,B.O.Punjab,28423802,6.99,7.01,7.19,6.6,6.92
2024-01-05,FABL,Faysal Bank,1097822,33.53,33.5,34.15,32.76,33.35
2024-01-05,HBL,Habib Bank,1060265,116.5,117.45,117.99,115.2,117.41
2024-01-05,HMB,Habib Metropol.,42500,55.99,56.48,56.48,54.98,55.37
2024-01-05,JSBL,JS Bank Ltd,1468500,10.08,10,10.2,9.8,10
2024-01-05,MCB,MCB Bank Ltd,334883,176.69,175.15,177.8,174.5,177.11
2024-01-05,MEBL,Meezan Bank,520864,163.2,163.99,164.49,162,162.83
2024-01-05,NBP,National BankXD,719000,32.92,33.04,33.23,32.35,32.67
2024-01-05,SCBPL,St.Chart.Bank,33000,36,35.5,36,34,35.89
2024-01-05,SILK,Silk Bank Ltd,3064500,1.11,1.12,1.16,1.09,1.1
2024-01-05,SNBL,Soneri Bank Ltd,317000,10.61,10.71,10.98,10.44,10.51
2024-01-05,UBL,United Bank,383176,184.68,185.85,185.89,180.11,183.65
2024-01-04,ABL,Allied Bank Ltd,2500,83.5,83,83.01,82.9,82.9
2024-01-04,AKBL,Askari Bank,1527000,24.54,24.45,24.75,24.2,24.27
2024-01-04,BAFL,Bank Al-Falah,225667,48.87,49.23,49.24,48.5,48.97
2024-01-04,BAHL,Bank AL-Habib,506758,83.27,83.99,84.94,82.8,82.99
2024-01-04,BIPL,Bankislami Pak.,1069472,21.44,21.51,21.83,21.2,21.49
2024-01-04,BML,Bank Makramah,425500,2.25,2.31,2.31,2.2,2.27
