Date From,Date To,Ticker Symbol,Security Name,EPS,P/E Ratio,Equity to Asset Ratio,Price to Book Value Ratio,Return on Assets,Return on Equity,Dividend,Dividend Yield,Payout Ratio,Cash per Share
9/30/23,12/30/23,ABL,Allied Bank Ltd,-,-,-,-,-,-,-,-,-,
6/30/23,9/30/23,ABL,Allied Bank Ltd,25.03,2.01,6.65,0.51,1.27,19.04,8,11.92,31.96,115.37
3/30/23,6/30/23,ABL,Allied Bank Ltd,15.23,2.15,5.81,0.55,0.74,12.76,5,7.65,32.82,139.19
12/30/22,3/30/23,ABL,Allied Bank Ltd,6.63,2.45,5.53,0.59,0.33,6.05,2.5,3.84,37.72,121.28
9/30/22,12/30/22,ABL,Allied Bank Ltd,18.51,3.96,5.68,0.66,0.94,16.58,8.5,11.59,45.92,
6/30/2,9/30/22,ABL,Allied Bank Ltd,11.03,5.21,6.05,0.7,0.61,10.13,6,7.83,54.41,115.37
3/30/22,6/30/22,ABL,Allied Bank Ltd,6.01,6.82,5.88,0.75,0.32,5.49,4,4.88,66.51,139.19
12/30/21,3/30/22,ABL,Allied Bank Ltd,4.22,5.13,6.58,0.77,0.25,3.74,2,2.31,47.44,121.28
1/30/21,12/30/21,ABL,Allied Bank Ltd,15.12,4.98,6.33,0.68,0.86,13.61,8,10.63,52.91,108.64
1/30/20,12/30/20,ABL,Allied Bank Ltd,15.75,5.33,8.27,0.73,1.13,13.7,8,9.52,50.81,112.13
1/30/19,12/30/19,ABL,Allied Bank Ltd,12.32,8.08,7.79,0.99,0.95,12.23,8,8.03,64.91,104.75
1/30/18,12/30/18,ABL,Allied Bank Ltd,11.25,8.84,7.94,1.06,0.95,12,8,8.04,71.12,86.62
,,,,,,,,,,,,,
9/30/23,12/30/23,AKBL,Askari Bank,-,-,-,-,-,-,-,-,-,-
6/30/23,9/30/23,AKBL,Askari Bank,10.05,1.22,4.62,0.28,0.79,17.19,0,0,0,83.17
3/30/23,6/30/23,AKBL,Askari Bank,6.1,1.39,3.86,0.32,0.44,11.5,0,0,0,88.56
12/30/22,3/30/23,AKBL,Askari Bank,3.25,1.46,4.32,0.38,0.28,6.55,0,0,0,62.76
